finnish, kaldi
a,A
ä,AE
b,B
d,D
e,E
f,F
g,G
h,H
i,I
j,J
k,K
l,L
m,M
n,N
o,O
ö,OE
p,P
r,R
s,S
t,T
u,U
v,V
y,Y
x,K S
z,T S
w,V
å,O
c,S
q,K
