estonian,finnish
a,A
b,p
c,s
d,t
e,e
f,f
g,k
h,h
i,I
j,j
k,k k
l,l
m,m
n,n
o,o
p,p p
q,k
r,r
s,s
t,t t
u,U
v,v
w,v
x,k s
y,U e
z,t s
ä,A e
å,o
ð,t h
õ,o U
ö,o e
ü,y
þ,t h
š,s h
ž,d t s h
A,A
B,p
C,s
D,t
E,e
F,f
G,k
H,h
I,I
J,j
K,k k
L,l
M,m
N,n
O,o
P,p p
Q,k
R,r
S,s
T,t t
U,U
V,v
W,v
X,k s
Y,U e
Z,t s
Ä,A e
Å,o
Ð,t h
Õ,o U
Ö,o e
Ü,y
Þ,t h
Š,s h
Ž,d t s h
