sami,finnish
ñ,n j
q,k
w,v
x,k s
å,o
à,A
é,e
í,I
ó,o
ú,U
ý,y
ü,y y
æ,{
ø,2
a,A
á,{
b,b
c,t s
č,t s h
d,d
đ,t h
e,e
m,m
n,n
ŋ,N
o,o
p,p
r,r
s,s
š,s h
f,f
g,g
h,h
i,I
j,j
k,k
l,l
t,t
ŧ,t h
u,U
v,v
y,y
z,t s
u,U
v,v
ž,d t s h
ä,{
ö,2
Ñ,n j
Q,k
W,v
X,k s
Å,o
À,A
É,e
Í,I
Ó,o
Ú,U
Ý,y
Ü,y y
Æ,{
Ø,2
A,A
Á,{
B,b
C,t s
Č,t s h
D,d
Đ,t h
E,e
M,m
N,n
Ŋ,N
O,o
P,p
R,r
S,s
Š,s h
F,f
G,g
H,h
I,I
J,j
K,k
L,l
T,t
Ŧ,t h
U,U
V,v
Y,y
Z,t s
U,U
V,v
Ž,d t s h
Ä,{
Ö,2
