english,phonetisaurus
a,{
i,I
u,U
b,b
d,d
e,I
f,f
g,g
h,h
j,j
k,k
l,l
m,m
n,n
o,o
p,p
r,r
s,s
t,t
v,v
y,I
c,s
w,v
q,k
z,t s
x,k s
A,{
I,I
U,U
B,b
D,d
E,I
F,f
G,g
H,h
J,j
K,k
L,l
M,m
N,n
O,o
P,p
R,r
S,s
T,t
V,v
Y,I
C,s
W,v
Q,k
Z,t s
X,k s
